Fecha,Institución,Pacientes,Positivos,En_estudio
29/05/2020,ISSSTE,0,0,0
29/05/2020,IMSS,0,0,0
29/05/2020,Privados,0,0,0
30/05/2020,SSJ,0,0,0
30/05/2020,HCG,0,0,0
30/05/2020,ISSSTE,0,0,0
30/05/2020,IMSS,0,0,0
30/05/2020,Privados,0,0,0
31/05/2020,SSJ,0,0,0
31/05/2020,HCG,0,0,0
31/05/2020,ISSSTE,0,0,0
31/05/2020,IMSS,0,0,0
31/05/2020,Privados,0,0,0
01/06/2020,SSJ,0,0,0
01/06/2020,HCG,0,0,0
01/06/2020,ISSSTE,0,0,0
01/06/2020,IMSS,0,0,0
01/06/2020,Privados,0,0,0
02/06/2020,SSJ,0,0,0
02/06/2020,HCG,0,0,0
02/06/2020,ISSSTE,0,0,0
02/06/2020,IMSS,0,0,0
02/06/2020,Privados,0,0,0
03/06/2020,SSJ,0,0,0
03/06/2020,HCG,0,0,0
03/06/2020,ISSSTE,0,0,0
03/06/2020,IMSS,0,0,0
03/06/2020,Privados,0,0,0
04/06/2020,SSJ,0,0,0
04/06/2020,HCG,0,0,0
04/06/2020,ISSSTE,0,0,0
04/06/2020,IMSS,0,0,0
04/06/2020,Privados,0,0,0
05/06/2020,SSJ,0,0,0
05/06/2020,HCG,0,0,0
05/06/2020,ISSSTE,0,0,0
05/06/2020,IMSS,0,0,0
05/06/2020,Privados,0,0,0
06/06/2020,SSJ,0,0,0
06/06/2020,HCG,0,0,0
06/06/2020,ISSSTE,0,0,0
06/06/2020,IMSS,0,0,0
06/06/2020,Privados,0,0,0
07/06/2020,SSJ,0,0,0
07/06/2020,HCG,0,0,0
07/06/2020,ISSSTE,0,0,0
07/06/2020,IMSS,0,0,0
07/06/2020,Privados,0,0,0
08/06/2020,SSJ,0,0,0
08/06/2020,HCG,0,0,0
08/06/2020,ISSSTE,0,0,0
08/06/2020,IMSS,0,0,0
08/06/2020,Privados,0,0,0
09/06/2020,SSJ,0,0,0
09/06/2020,HCG,0,0,0
09/06/2020,ISSSTE,0,0,0
09/06/2020,IMSS,0,0,0
09/06/2020,Privados,0,0,0
10/06/2020,SSJ,0,0,0
10/06/2020,HCG,0,0,0
10/06/2020,ISSSTE,0,0,0
10/06/2020,IMSS,0,0,0
10/06/2020,Privados,0,0,0
11/06/2020,SSJ,0,0,0
11/06/2020,HCG,0,0,0
11/06/2020,ISSSTE,0,0,0
11/06/2020,IMSS,0,0,0
11/06/2020,Privados,0,0,0
12/06/2020,SSJ,0,0,0
12/06/2020,HCG,0,0,0
12/06/2020,ISSSTE,0,0,0
12/06/2020,IMSS,0,0,0
12/06/2020,Privados,0,0,0
13/06/2020,SSJ,0,0,0
13/06/2020,HCG,0,0,0
13/06/2020,ISSSTE,0,0,0
13/06/2020,IMSS,0,0,0
13/06/2020,Privados,0,0,0
14/06/2020,SSJ,0,0,0
14/06/2020,HCG,0,0,0
14/06/2020,ISSSTE,0,0,0
14/06/2020,IMSS,0,0,0
14/06/2020,Privados,0,0,0
15/06/2020,SSJ,0,0,0
15/06/2020,HCG,0,0,0
15/06/2020,ISSSTE,0,0,0
15/06/2020,IMSS,0,0,0
15/06/2020,Privados,0,0,0
16/06/2020,SSJ,0,0,0
16/06/2020,HCG,0,0,0
16/06/2020,ISSSTE,0,0,0
16/06/2020,IMSS,0,0,0
16/06/2020,Privados,0,0,0
17/06/2020,SSJ,0,0,0
17/06/2020,HCG,0,0,0
17/06/2020,ISSSTE,0,0,0
17/06/2020,IMSS,0,0,0
